Flight_Number,Departure_Time,Arrival_Time,Status,Travel_Class,Price,Departure_Airport_id,Arrival_Airport_id
AD4688B,2026-06-04 06:00:00,2026-06-04 07:02:00,Scheduled,Business,640.0,7,24
AD4688F,2026-06-04 06:00:00,2026-06-04 07:02:00,Scheduled,First Class,1024.0,7,24
AD8999E,2026-06-11 06:00:00,2026-06-11 07:02:00,Scheduled,Economy,58.0,7,24
AD8999B,2026-06-11 06:00:00,2026-06-11 07:02:00,Scheduled,Business,145.0,7,24
AD8999F,2026-06-11 06:00:00,2026-06-11 07:02:00,Scheduled,First Class,232.0,7,24
AD5531E,2026-06-18 06:00:00,2026-06-18 07:02:00,Scheduled,Economy,232.0,7,24
AD5531B,2026-06-18 06:00:00,2026-06-18 07:02:00,Scheduled,Business,580.0,7,24
AD5531F,2026-06-18 06:00:00,2026-06-18 07:02:00,Scheduled,First Class,928.0,7,24
AD3809E,2026-03-20 06:00:00,2026-03-20 06:46:00,Scheduled,Economy,81.0,18,19
AD3809B,2026-03-20 06:00:00,2026-03-20 06:46:00,Scheduled,Business,202.5,18,19
AD3809F,2026-03-20 06:00:00,2026-03-20 06:46:00,Scheduled,First Class,324.0,18,19
AD7469E,2026-03-27 06:00:00,2026-03-27 06:46:00,Scheduled,Economy,156.0,18,19
AD7469B,2026-03-27 06:00:00,2026-03-27 06:46:00,Scheduled,Business,390.0,18,19
AD7469F,2026-03-27 06:00:00,2026-03-27 06:46:00,Scheduled,First Class,624.0,18,19
AD1707E,2026-04-03 06:00:00,2026-04-03 06:46:00,Scheduled,Economy,271.0,18,19
AD1707B,2026-04-03 06:00:00,2026-04-03 06:46:00,Scheduled,Business,677.5,18,19
AD1707F,2026-04-03 06:00:00,2026-04-03 06:46:00,Scheduled,First Class,1084.0,18,19
AD3866E,2026-04-10 06:00:00,2026-04-10 06:46:00,Scheduled,Economy,279.0,18,19
AD3866B,2026-04-10 06:00:00,2026-04-10 06:46:00,Scheduled,Business,697.5,18,19
AD3866F,2026-04-10 06:00:00,2026-04-10 06:46:00,Scheduled,First Class,1116.0,18,19
AD2274E,2026-04-17 06:00:00,2026-04-17 06:46:00,Scheduled,Economy,248.0,18,19
AD2274B,2026-04-17 06:00:00,2026-04-17 06:46:00,Scheduled,Business,620.0,18,19
AD2274F,2026-04-17 06:00:00,2026-04-17 06:46:00,Scheduled,First Class,992.0,18,19
AD5808E,2026-04-24 06:00:00,2026-04-24 06:46:00,Scheduled,Economy,229.0,18,19
AD5808B,2026-04-24 06:00:00,2026-04-24 06:46:00,Scheduled,Business,572.5,18,19
AD5808F,2026-04-24 06:00:00,2026-04-24 06:46:00,Scheduled,First Class,916.0,18,19
AD2022E,2026-05-01 06:00:00,2026-05-01 06:46:00,Scheduled,Economy,107.0,18,19
AD2022B,2026-05-01 06:00:00,2026-05-01 06:46:00,Scheduled,Business,267.5,18,19
AD2022F,2026-05-01 06:00:00,2026-05-01 06:46:00,Scheduled,First Class,428.0,18,19
AD6170E,2026-05-08 06:00:00,2026-05-08 06:46:00,Scheduled,Economy,62.0,18,19
AD6170B,2026-05-08 06:00:00,2026-05-08 06:46:00,Scheduled,Business,155.0,18,19
AD6170F,2026-05-08 06:00:00,2026-05-08 06:46:00,Scheduled,First Class,248.0,18,19
AD1809E,2026-05-15 06:00:00,2026-05-15 06:46:00,Scheduled,Economy,180.0,18,19
AD1809B,2026-05-15 06:00:00,2026-05-15 06:46:00,Scheduled,Business,450.0,18,19
AD1809F,2026-05-15 06:00:00,2026-05-15 06:46:00,Scheduled,First Class,720.0,18,19
AD2423E,2026-05-22 06:00:00,2026-05-22 06:46:00,Scheduled,Economy,68.0,18,19
AD2423B,2026-05-22 06:00:00,2026-05-22 06:46:00,Scheduled,Business,170.0,18,19
AD2423F,2026-05-22 06:00:00,2026-05-22 06:46:00,Scheduled,First Class,272.0,18,19
AD5620E,2026-05-29 06:00:00,2026-05-29 06:46:00,Scheduled,Economy,80.0,18,19
AD5620B,2026-05-29 06:00:00,2026-05-29 06:46:00,Scheduled,Business,200.0,18,19
AD5620F,2026-05-29 06:00:00,2026-05-29 06:46:00,Scheduled,First Class,320.0,18,19
AD1527E,2026-06-05 06:00:00,2026-06-05 06:46:00,Scheduled,Economy,121.0,18,19
AD1527B,2026-06-05 06:00:00,2026-06-05 06:46:00,Scheduled,Business,302.5,18,19
AD1527F,2026-06-05 06:00:00,2026-06-05 06:46:00,Scheduled,First Class,484.0,18,19
AD3138E,2026-06-12 06:00:00,2026-06-12 06:46:00,Scheduled,Economy,224.0,18,19
AD3138B,2026-06-12 06:00:00,2026-06-12 06:46:00,Scheduled,Business,560.0,18,19
AD3138F,2026-06-12 06:00:00,2026-06-12 06:46:00,Scheduled,First Class,896.0,18,19
AD6648E,2026-06-19 06:00:00,2026-06-19 06:46:00,Scheduled,Economy,240.0,18,19
AD6648B,2026-06-19 06:00:00,2026-06-19 06:46:00,Scheduled,Business,600.0,18,19
AD6648F,2026-06-19 06:00:00,2026-06-19 06:46:00,Scheduled,First Class,960.0,18,19
AD7453E,2026-03-21 06:00:00,2026-03-21 06:51:00,Scheduled,Economy,66.0,13,7
AD7453B,2026-03-21 06:00:00,2026-03-21 06:51:00,Scheduled,Business,165.0,13,7
AD7453F,2026-03-21 06:00:00,2026-03-21 06:51:00,Scheduled,First Class,264.0,13,7
AD2671E,2026-03-28 06:00:00,2026-03-28 06:51:00,Scheduled,Economy,296.0,13,7
AD2671B,2026-03-28 06:00:00,2026-03-28 06:51:00,Scheduled,Business,740.0,13,7
AD2671F,2026-03-28 06:00:00,2026-03-28 06:51:00,Scheduled,First Class,1184.0,13,7
AD1584E,2026-04-04 06:00:00,2026-04-04 06:51:00,Scheduled,Economy,247.0,13,7
AD1584B,2026-04-04 06:00:00,2026-04-04 06:51:00,Scheduled,Business,617.5,13,7
AD1584F,2026-04-04 06:00:00,2026-04-04 06:51:00,Scheduled,First Class,988.0,13,7
AD4384E,2026-04-11 06:00:00,2026-04-11 06:51:00,Scheduled,Economy,178.0,13,7
AD4384B,2026-04-11 06:00:00,2026-04-11 06:51:00,Scheduled,Business,445.0,13,7
AD4384F,2026-04-11 06:00:00,2026-04-11 06:51:00,Scheduled,First Class,712.0,13,7
AD8591E,2026-04-18 06:00:00,2026-04-18 06:51:00,Scheduled,Economy,283.0,13,7
AD8591B,2026-04-18 06:00:00,2026-04-18 06:51:00,Scheduled,Business,707.5,13,7
AD8591F,2026-04-18 06:00:00,2026-04-18 06:51:00,Scheduled,First Class,1132.0,13,7
AD6278E,2026-04-25 06:00:00,2026-04-25 06:51:00,Scheduled,Economy,127.0,13,7
AD6278B,2026-04-25 06:00:00,2026-04-25 06:51:00,Scheduled,Business,317.5,13,7
AD6278F,2026-04-25 06:00:00,2026-04-25 06:51:00,Scheduled,First Class,508.0,13,7
AD7040E,2026-05-02 06:00:00,2026-05-02 06:51:00,Scheduled,Economy,218.0,13,7
AD7040B,2026-05-02 06:00:00,2026-05-02 06:51:00,Scheduled,Business,545.0,13,7
AD7040F,2026-05-02 06:00:00,2026-05-02 06:51:00,Scheduled,First Class,872.0,13,7
AD9789E,2026-05-09 06:00:00,2026-05-09 06:51:00,Scheduled,Economy,50.0,13,7
AD9789B,2026-05-09 06:00:00,2026-05-09 06:51:00,Scheduled,Business,125.0,13,7
AD9789F,2026-05-09 06:00:00,2026-05-09 06:51:00,Scheduled,First Class,200.0,13,7
AD8889E,2026-05-16 06:00:00,2026-05-16 06:51:00,Scheduled,Economy,179.0,13,7
AD8889B,2026-05-16 06:00:00,2026-05-16 06:51:00,Scheduled,Business,447.5,13,7
AD8889F,2026-05-16 06:00:00,2026-05-16 06:51:00,Scheduled,First Class,716.0,13,7
AD6734E,2026-05-23 06:00:00,2026-05-23 06:51:00,Scheduled,Economy,276.0,13,7
AD6734B,2026-05-23 06:00:00,2026-05-23 06:51:00,Scheduled,Business,690.0,13,7
AD6734F,2026-05-23 06:00:00,2026-05-23 06:51:00,Scheduled,First Class,1104.0,13,7
AD1309E,2026-05-30 06:00:00,2026-05-30 06:51:00,Scheduled,Economy,171.0,13,7
AD1309B,2026-05-30 06:00:00,2026-05-30 06:51:00,Scheduled,Business,427.5,13,7
AD1309F,2026-05-30 06:00:00,2026-05-30 06:51:00,Scheduled,First Class,684.0,13,7
AD7948E,2026-06-06 06:00:00,2026-06-06 06:51:00,Scheduled,Economy,68.0,13,7
AD7948B,2026-06-06 06:00:00,2026-06-06 06:51:00,Scheduled,Business,170.0,13,7
AD7948F,2026-06-06 06:00:00,2026-06-06 06:51:00,Scheduled,First Class,272.0,13,7
AD4800E,2026-06-13 06:00:00,2026-06-13 06:51:00,Scheduled,Economy,197.0,13,7
AD4800B,2026-06-13 06:00:00,2026-06-13 06:51:00,Scheduled,Business,492.5,13,7
AD4800F,2026-06-13 06:00:00,2026-06-13 06:51:00,Scheduled,First Class,788.0,13,7
AD1875E,2026-03-20 06:00:00,2026-03-20 06:46:00,Scheduled,Economy,148.0,17,18
AD1875B,2026-03-20 06:00:00,2026-03-20 06:46:00,Scheduled,Business,370.0,17,18
AD1875F,2026-03-20 06:00:00,2026-03-20 06:46:00,Scheduled,First Class,592.0,17,18
AD3802E,2026-03-27 06:00:00,2026-03-27 06:46:00,Scheduled,Economy,182.0,17,18
AD3802B,2026-03-27 06:00:00,2026-03-27 06:46:00,Scheduled,Business,455.0,17,18
AD3802F,2026-03-27 06:00:00,2026-03-27 06:46:00,Scheduled,First Class,728.0,17,18
AD5586E,2026-04-03 06:00:00,2026-04-03 06:46:00,Scheduled,Economy,100.0,17,18
AD5586B,2026-04-03 06:00:00,2026-04-03 06:46:00,Scheduled,Business,250.0,17,18
AD5586F,2026-04-03 06:00:00,2026-04-03 06:46:00,Scheduled,First Class,400.0,17,18
AD2900E,2026-04-10 06:00:00,2026-04-10 06:46:00,Scheduled,Economy,147.0,17,18
AD2900B,2026-04-10 06:00:00,2026-04-10 06:46:00,Scheduled,Business,367.5,17,18
AD2900F,2026-04-10 06:00:00,2026-04-10 06:46:00,Scheduled,First Class,588.0,17,18
AD3737E,2026-04-17 06:00:00,2026-04-17 06:46:00,Scheduled,Economy,171.0,17,18
AD3737B,2026-04-17 06:00:00,2026-04-17 06:46:00,Scheduled,Business,427.5,17,18
AD3737F,2026-04-17 06:00:00,2026-04-17 06:46:00,Scheduled,First Class,684.0,17,18
AD8773E,2026-04-24 06:00:00,2026-04-24 06:46:00,Scheduled,Economy,191.0,17,18
AD8773B,2026-04-24 06:00:00,2026-04-24 06:46:00,Scheduled,Business,477.5,17,18
AD8773F,2026-04-24 06:00:00,2026-04-24 06:46:00,Scheduled,First Class,764.0,17,18
AD4347E,2026-05-01 06:00:00,2026-05-01 06:46:00,Scheduled,Economy,122.0,17,18
AD4347B,2026-05-01 06:00:00,2026-05-01 06:46:00,Scheduled,Business,305.0,17,18
AD4347F,2026-05-01 06:00:00,2026-05-01 06:46:00,Scheduled,First Class,488.0,17,18
AD2995E,2026-05-08 06:00:00,2026-05-08 06:46:00,Scheduled,Economy,96.0,17,18
AD2995B,2026-05-08 06:00:00,2026-05-08 06:46:00,Scheduled,Business,240.0,17,18
AD2995F,2026-05-08 06:00:00,2026-05-08 06:46:00,Scheduled,First Class,384.0,17,18
AD4470E,2026-05-15 06:00:00,2026-05-15 06:46:00,Scheduled,Economy,105.0,17,18
AD4470B,2026-05-15 06:00:00,2026-05-15 06:46:00,Scheduled,Business,262.5,17,18
AD4470F,2026-05-15 06:00:00,2026-05-15 06:46:00,Scheduled,First Class,420.0,17,18
AD2482E,2026-05-22 06:00:00,2026-05-22 06:46:00,Scheduled,Economy,250.0,17,18
AD2482B,2026-05-22 06:00:00,2026-05-22 06:46:00,Scheduled,Business,625.0,17,18
AD2482F,2026-05-22 06:00:00,2026-05-22 06:46:00,Scheduled,First Class,1000.0,17,18
AD9448E,2026-05-29 06:00:00,2026-05-29 06:46:00,Scheduled,Economy,181.0,17,18
AD9448B,2026-05-29 06:00:00,2026-05-29 06:46:00,Scheduled,Business,452.5,17,18
AD9448F,2026-05-29 06:00:00,2026-05-29 06:46:00,Scheduled,First Class,724.0,17,18
AD3517E,2026-06-05 06:00:00,2026-06-05 06:46:00,Scheduled,Economy,69.0,17,18
AD3517B,2026-06-05 06:00:00,2026-06-05 06:46:00,Scheduled,Business,172.5,17,18
AD3517F,2026-06-05 06:00:00,2026-06-05 06:46:00,Scheduled,First Class,276.0,17,18
AD6104E,2026-06-12 06:00:00,2026-06-12 06:46:00,Scheduled,Economy,232.0,17,18
AD6104B,2026-06-12 06:00:00,2026-06-12 06:46:00,Scheduled,Business,580.0,17,18
AD6104F,2026-06-12 06:00:00,2026-06-12 06:46:00,Scheduled,First Class,928.0,17,18
AD1464E,2026-06-19 06:00:00,2026-06-19 06:46:00,Scheduled,Economy,263.0,17,18
AD1464B,2026-06-19 06:00:00,2026-06-19 06:46:00,Scheduled,Business,657.5,17,18
AD1464F,2026-06-19 06:00:00,2026-06-19 06:46:00,Scheduled,First Class,1052.0,17,18
AD8226E,2026-03-24 06:00:00,2026-03-24 07:04:00,Scheduled,Economy,263.0,14,33
AD8226B,2026-03-24 06:00:00,2026-03-24 07:04:00,Scheduled,Business,657.5,14,33
AD8226F,2026-03-24 06:00:00,2026-03-24 07:04:00,Scheduled,First Class,1052.0,14,33
AD4077E,2026-03-31 06:00:00,2026-03-31 07:04:00,Scheduled,Economy,252.0,14,33
AD4077B,2026-03-31 06:00:00,2026-03-31 07:04:00,Scheduled,Business,630.0,14,33
AD4077F,2026-03-31 06:00:00,2026-03-31 07:04:00,Scheduled,First Class,1008.0,14,33
AD2239E,2026-04-07 06:00:00,2026-04-07 07:04:00,Scheduled,Economy,148.0,14,33
AD2239B,2026-04-07 06:00:00,2026-04-07 07:04:00,Scheduled,Business,370.0,14,33
AD2239F,2026-04-07 06:00:00,2026-04-07 07:04:00,Scheduled,First Class,592.0,14,33
AD2006E,2026-04-14 06:00:00,2026-04-14 07:04:00,Scheduled,Economy,252.0,14,33
AD2006B,2026-04-14 06:00:00,2026-04-14 07:04:00,Scheduled,Business,630.0,14,33
AD2006F,2026-04-14 06:00:00,2026-04-14 07:04:00,Scheduled,First Class,1008.0,14,33
AD4943E,2026-04-21 06:00:00,2026-04-21 07:04:00,Scheduled,Economy,260.0,14,33
AD4943B,2026-04-21 06:00:00,2026-04-21 07:04:00,Scheduled,Business,650.0,14,33
AD4943F,2026-04-21 06:00:00,2026-04-21 07:04:00,Scheduled,First Class,1040.0,14,33
AD1033E,2026-04-28 06:00:00,2026-04-28 07:04:00,Scheduled,Economy,261.0,14,33
AD1033B,2026-04-28 06:00:00,2026-04-28 07:04:00,Scheduled,Business,652.5,14,33
AD1033F,2026-04-28 06:00:00,2026-04-28 07:04:00,Scheduled,First Class,1044.0,14,33
AD9627E,2026-05-05 06:00:00,2026-05-05 07:04:00,Scheduled,Economy,118.0,14,33
AD9627B,2026-05-05 06:00:00,2026-05-05 07:04:00,Scheduled,Business,295.0,14,33
AD9627F,2026-05-05 06:00:00,2026-05-05 07:04:00,Scheduled,First Class,472.0,14,33
AD1450E,2026-05-12 06:00:00,2026-05-12 07:04:00,Scheduled,Economy,98.0,14,33
AD1450B,2026-05-12 06:00:00,2026-05-12 07:04:00,Scheduled,Business,245.0,14,33
AD1450F,2026-05-12 06:00:00,2026-05-12 07:04:00,Scheduled,First Class,392.0,14,33
AD5788E,2026-05-19 06:00:00,2026-05-19 07:04:00,Scheduled,Economy,98.0,14,33
AD5788B,2026-05-19 06:00:00,2026-05-19 07:04:00,Scheduled,Business,245.0,14,33
AD5788F,2026-05-19 06:00:00,2026-05-19 07:04:00,Scheduled,First Class,392.0,14,33
AD2078E,2026-05-26 06:00:00,2026-05-26 07:04:00,Scheduled,Economy,102.0,14,33
AD2078B,2026-05-26 06:00:00,2026-05-26 07:04:00,Scheduled,Business,255.0,14,33
AD2078F,2026-05-26 06:00:00,2026-05-26 07:04:00,Scheduled,First Class,408.0,14,33
AD7395E,2026-06-02 06:00:00,2026-06-02 07:04:00,Scheduled,Economy,105.0,14,33
AD7395B,2026-06-02 06:00:00,2026-06-02 07:04:00,Scheduled,Business,262.5,14,33
AD7395F,2026-06-02 06:00:00,2026-06-02 07:04:00,Scheduled,First Class,420.0,14,33
AD7406E,2026-06-09 06:00:00,2026-06-09 07:04:00,Scheduled,Economy,298.0,14,33
AD7406B,2026-06-09 06:00:00,2026-06-09 07:04:00,Scheduled,Business,745.0,14,33
AD7406F,2026-06-09 06:00:00,2026-06-09 07:04:00,Scheduled,First Class,1192.0,14,33
AD8678E,2026-06-16 06:00:00,2026-06-16 07:04:00,Scheduled,Economy,190.0,14,33
AD8678B,2026-06-16 06:00:00,2026-06-16 07:04:00,Scheduled,Business,475.0,14,33
AD8678F,2026-06-16 06:00:00,2026-06-16 07:04:00,Scheduled,First Class,760.0,14,33
AD9231E,2026-03-22 06:00:00,2026-03-22 07:00:00,Scheduled,Economy,140.0,14,29
AD9231B,2026-03-22 06:00:00,2026-03-22 07:00:00,Scheduled,Business,350.0,14,29
AD9231F,2026-03-22 06:00:00,2026-03-22 07:00:00,Scheduled,First Class,560.0,14,29
AD4328E,2026-03-29 06:00:00,2026-03-29 07:00:00,Scheduled,Economy,213.0,14,29
AD4328B,2026-03-29 06:00:00,2026-03-29 07:00:00,Scheduled,Business,532.5,14,29
AD4328F,2026-03-29 06:00:00,2026-03-29 07:00:00,Scheduled,First Class,852.0,14,29
AD1489E,2026-04-05 06:00:00,2026-04-05 07:00:00,Scheduled,Economy,209.0,14,29
AD1489B,2026-04-05 06:00:00,2026-04-05 07:00:00,Scheduled,Business,522.5,14,29
AD1489F,2026-04-05 06:00:00,2026-04-05 07:00:00,Scheduled,First Class,836.0,14,29
AD3686E,2026-04-12 06:00:00,2026-04-12 07:00:00,Scheduled,Economy,113.0,14,29
AD3686B,2026-04-12 06:00:00,2026-04-12 07:00:00,Scheduled,Business,282.5,14,29
AD3686F,2026-04-12 06:00:00,2026-04-12 07:00:00,Scheduled,First Class,452.0,14,29
AD9291E,2026-04-19 06:00:00,2026-04-19 07:00:00,Scheduled,Economy,197.0,14,29
AD9291B,2026-04-19 06:00:00,2026-04-19 07:00:00,Scheduled,Business,492.5,14,29
AD9291F,2026-04-19 06:00:00,2026-04-19 07:00:00,Scheduled,First Class,788.0,14,29
AD4582E,2026-04-26 06:00:00,2026-04-26 07:00:00,Scheduled,Economy,179.0,14,29
AD4582B,2026-04-26 06:00:00,2026-04-26 07:00:00,Scheduled,Business,447.5,14,29
AD4582F,2026-04-26 06:00:00,2026-04-26 07:00:00,Scheduled,First Class,716.0,14,29
AD1123E,2026-05-03 06:00:00,2026-05-03 07:00:00,Scheduled,Economy,288.0,14,29
AD1123B,2026-05-03 06:00:00,2026-05-03 07:00:00,Scheduled,Business,720.0,14,29
AD1123F,2026-05-03 06:00:00,2026-05-03 07:00:00,Scheduled,First Class,1152.0,14,29
AD7767E,2026-05-10 06:00:00,2026-05-10 07:00:00,Scheduled,Economy,60.0,14,29
AD7767B,2026-05-10 06:00:00,2026-05-10 07:00:00,Scheduled,Business,150.0,14,29
AD7767F,2026-05-10 06:00:00,2026-05-10 07:00:00,Scheduled,First Class,240.0,14,29
AD8407E,2026-05-17 06:00:00,2026-05-17 07:00:00,Scheduled,Economy,238.0,14,29
AD8407B,2026-05-17 06:00:00,2026-05-17 07:00:00,Scheduled,Business,595.0,14,29
AD8407F,2026-05-17 06:00:00,2026-05-17 07:00:00,Scheduled,First Class,952.0,14,29
AD2445E,2026-05-24 06:00:00,2026-05-24 07:00:00,Scheduled,Economy,83.0,14,29
AD2445B,2026-05-24 06:00:00,2026-05-24 07:00:00,Scheduled,Business,207.5,14,29
AD2445F,2026-05-24 06:00:00,2026-05-24 07:00:00,Scheduled,First Class,332.0,14,29
AD4489E,2026-05-31 06:00:00,2026-05-31 07:00:00,Scheduled,Economy,278.0,14,29
AD4489B,2026-05-31 06:00:00,2026-05-31 07:00:00,Scheduled,Business,695.0,14,29
AD4489F,2026-05-31 06:00:00,2026-05-31 07:00:00,Scheduled,First Class,1112.0,14,29
AD2282E,2026-06-07 06:00:00,2026-06-07 07:00:00,Scheduled,Economy,281.0,14,29
AD2282B,2026-06-07 06:00:00,2026-06-07 07:00:00,Scheduled,Business,702.5,14,29
AD2282F,2026-06-07 06:00:00,2026-06-07 07:00:00,Scheduled,First Class,1124.0,14,29
AD5203E,2026-06-14 06:00:00,2026-06-14 07:00:00,Scheduled,Economy,89.0,14,29
AD5203B,2026-06-14 06:00:00,2026-06-14 07:00:00,Scheduled,Business,222.5,14,29
AD5203F,2026-06-14 06:00:00,2026-06-14 07:00:00,Scheduled,First Class,356.0,14,29
AD4502E,2026-03-26 06:00:00,2026-03-26 07:00:00,Scheduled,Economy,283.0,1,16
AD4502B,2026-03-26 06:00:00,2026-03-26 07:00:00,Scheduled,Business,707.5,1,16
AD4502F,2026-03-26 06:00:00,2026-03-26 07:00:00,Scheduled,First Class,1132.0,1,16
AD8939E,2026-04-02 06:00:00,2026-04-02 07:00:00,Scheduled,Economy,164.0,1,16
AD8939B,2026-04-02 06:00:00,2026-04-02 07:00:00,Scheduled,Business,410.0,1,16
AD8939F,2026-04-02 06:00:00,2026-04-02 07:00:00,Scheduled,First Class,656.0,1,16
AD9292E,2026-04-09 06:00:00,2026-04-09 07:00:00,Scheduled,Economy,187.0,1,16
AD9292B,2026-04-09 06:00:00,2026-04-09 07:00:00,Scheduled,Business,467.5,1,16
AD9292F,2026-04-09 06:00:00,2026-04-09 07:00:00,Scheduled,First Class,748.0,1,16
AD3936E,2026-04-16 06:00:00,2026-04-16 07:00:00,Scheduled,Economy,206.0,1,16
AD3936B,2026-04-16 06:00:00,2026-04-16 07:00:00,Scheduled,Business,515.0,1,16
AD3936F,2026-04-16 06:00:00,2026-04-16 07:00:00,Scheduled,First Class,824.0,1,16
AD2864E,2026-04-23 06:00:00,2026-04-23 07:00:00,Scheduled,Economy,124.0,1,16
AD2864B,2026-04-23 06:00:00,2026-04-23 07:00:00,Scheduled,Business,310.0,1,16
AD2864F,2026-04-23 06:00:00,2026-04-23 07:00:00,Scheduled,First Class,496.0,1,16
AD7181E,2026-04-30 06:00:00,2026-04-30 07:00:00,Scheduled,Economy,296.0,1,16
AD7181B,2026-04-30 06:00:00,2026-04-30 07:00:00,Scheduled,Business,740.0,1,16
AD7181F,2026-04-30 06:00:00,2026-04-30 07:00:00,Scheduled,First Class,1184.0,1,16
AD4297E,2026-05-07 06:00:00,2026-05-07 07:00:00,Scheduled,Economy,142.0,1,16
AD4297B,2026-05-07 06:00:00,2026-05-07 07:00:00,Scheduled,Business,355.0,1,16
AD4297F,2026-05-07 06:00:00,2026-05-07 07:00:00,Scheduled,First Class,568.0,1,16
AD5104E,2026-05-14 06:00:00,2026-05-14 07:00:00,Scheduled,Economy,299.0,1,16
AD5104B,2026-05-14 06:00:00,2026-05-14 07:00:00,Scheduled,Business,747.5,1,16
AD5104F,2026-05-14 06:00:00,2026-05-14 07:00:00,Scheduled,First Class,1196.0,1,16
AD1582E,2026-05-21 06:00:00,2026-05-21 07:00:00,Scheduled,Economy,163.0,1,16
AD1582B,2026-05-21 06:00:00,2026-05-21 07:00:00,Scheduled,Business,407.5,1,16
AD1582F,2026-05-21 06:00:00,2026-05-21 07:00:00,Scheduled,First Class,652.0,1,16
AD3951E,2026-05-28 06:00:00,2026-05-28 07:00:00,Scheduled,Economy,51.0,1,16
AD3951B,2026-05-28 06:00:00,2026-05-28 07:00:00,Scheduled,Business,127.5,1,16
AD3951F,2026-05-28 06:00:00,2026-05-28 07:00:00,Scheduled,First Class,204.0,1,16
AD8221E,2026-06-04 06:00:00,2026-06-04 07:00:00,Scheduled,Economy,169.0,1,16
AD8221B,2026-06-04 06:00:00,2026-06-04 07:00:00,Scheduled,Business,422.5,1,16
AD8221F,2026-06-04 06:00:00,2026-06-04 07:00:00,Scheduled,First Class,676.0,1,16
AD3812E,2026-06-11 06:00:00,2026-06-11 07:00:00,Scheduled,Economy,139.0,1,16
AD3812B,2026-06-11 06:00:00,2026-06-11 07:00:00,Scheduled,Business,347.5,1,16
AD3812F,2026-06-11 06:00:00,2026-06-11 07:00:00,Scheduled,First Class,556.0,1,16
AD9346E,2026-06-18 06:00:00,2026-06-18 07:00:00,Scheduled,Economy,211.0,1,16
AD9346B,2026-06-18 06:00:00,2026-06-18 07:00:00,Scheduled,Business,527.5,1,16
AD9346F,2026-06-18 06:00:00,2026-06-18 07:00:00,Scheduled,First Class,844.0,1,16
